speed_lvl;data;battery_val;current;ms_per_rev
1;0;387;0;3000
1;0;387;0;3000
1;0;388;0;3000
1;0;387;0;3000
1;25;388;0;3000
1;25;388;0;3000
1;25;387;0;3000
1;25;387;0;3000
1;50;387;0;3000
1;50;388;0;3000
1;50;387;0;3000
1;50;387;0;3000
1;75;387;0;3000
1;75;387;0;3000
1;75;387;0;3000
1;75;388;0;3000
1;100;386;0;3000
1;100;387;0;3000
1;100;387;0;3000
1;100;387;0;3000
1;125;388;0;3000
1;125;387;0;3000
1;125;387;0;3000
1;125;388;0;3000
1;150;387;0;3000
1;150;387;0;3000
1;150;387;0;3000
1;150;387;0;3000
1;175;387;0;3000
1;175;387;0;3000
1;175;388;0;3000
1;175;388;0;3000
1;200;386;0;3000
1;200;387;0;3000
1;200;388;0;3000
1;200;386;0;3000
1;225;386;0;3000
1;225;386;0;929
1;225;387;0;929
1;225;386;0;926
1;250;386;0;618
1;250;386;1;618
1;250;386;0;619
1;250;386;1;618
1;275;386;1;471
1;275;386;1;470
1;275;386;1;470
1;275;385;1;471
1;300;386;1;371
1;300;386;1;370
1;300;386;1;371
1;300;386;1;370
1;325;386;2;321
1;325;385;1;326
1;325;386;1;321
1;325;386;2;321
1;350;386;1;281
1;350;385;1;285
1;350;385;1;285
1;350;386;1;285
1;375;384;2;251
1;375;385;2;251
1;375;385;2;250
1;375;385;2;251
1;400;385;2;220
1;400;385;2;220
1;400;385;2;220
1;400;385;2;220
1;425;385;2;200
1;425;385;2;201
1;425;385;2;201
1;425;385;2;200
1;450;385;2;182
1;450;385;3;182
1;450;385;3;182
1;450;384;2;182
1;475;385;3;166
1;475;385;3;167
1;475;385;3;167
1;475;384;3;167
1;500;385;4;153
1;500;384;3;153
1;500;384;4;153
1;500;385;3;153
1;525;385;4;143
1;525;384;4;143
1;525;385;4;142
1;525;385;4;143
1;550;384;5;133
1;550;383;3;133
1;550;384;4;133
1;550;384;3;133
1;575;383;5;124
1;575;384;6;125
1;575;384;5;125
1;575;384;4;125
1;600;383;5;117
1;600;383;5;118
1;600;384;4;117
1;600;384;4;117
1;625;384;4;110
1;625;383;5;111
1;625;383;5;110
1;625;384;4;111
1;650;383;6;111
1;650;383;5;111
1;650;384;5;110
1;650;383;5;111
1;675;384;6;110
1;675;383;5;110
1;675;383;6;111
1;675;384;7;111
1;700;383;6;111
1;700;384;6;111
1;700;383;6;111
1;700;383;6;110
1;725;383;6;111
1;725;383;5;110
1;725;383;4;111
1;725;383;5;110
1;750;383;5;111
1;750;383;6;110
1;750;383;6;110
1;750;383;6;111
1;775;383;6;111
1;775;383;5;111
1;775;383;5;110
1;775;383;6;111
1;800;383;6;111
1;800;383;5;111
1;800;383;5;111
1;800;383;6;110
1;825;383;5;111
1;825;383;6;111
1;825;383;5;111
1;825;383;6;110
1;850;383;5;110
1;850;382;5;110
1;850;382;5;111
1;850;382;6;111
1;875;383;5;111
1;875;383;6;111
1;875;383;6;110
1;875;382;6;111
1;900;382;6;111
1;900;383;6;111
1;900;383;5;111
1;900;383;5;111
1;925;383;6;111
1;925;383;6;111
1;925;382;5;111
1;925;382;6;110
1;950;383;6;111
1;950;382;5;110
1;950;382;5;111
1;950;382;6;111
1;975;382;3;111
1;975;382;5;111
1;975;382;6;111
1;975;382;6;111
1;1000;382;5;111
1;1000;383;5;111
1;1000;382;5;111
1;1000;383;5;110
2;0;385;0;256
2;0;385;0;3000
2;0;385;0;3000
2;0;385;0;3000
2;25;385;0;3000
2;25;386;0;3000
2;25;385;0;3000
2;25;385;0;3000
2;50;385;0;3000
2;50;385;0;3000
2;50;386;0;3000
2;50;385;0;3000
2;75;386;0;3000
2;75;385;0;3000
2;75;385;0;3000
2;75;384;0;3000
2;100;386;0;3000
2;100;385;0;3000
2;100;385;0;3000
2;100;385;0;3000
2;125;385;0;3000
2;125;385;0;3000
2;125;385;0;3000
2;125;385;0;3000
2;150;385;0;3000
2;150;385;0;3000
2;150;386;0;3000
2;150;385;0;3000
2;175;385;0;3000
2;175;385;0;3000
2;175;385;0;3000
2;175;386;0;3000
2;200;385;0;3000
2;200;385;0;3000
2;200;385;0;3000
2;200;385;0;3000
2;225;384;0;3000
2;225;384;0;3000
2;225;384;0;925
2;225;384;0;923
2;250;384;0;617
2;250;384;0;618
2;250;384;0;617
2;250;384;0;617
2;275;384;1;470
2;275;384;1;470
2;275;383;1;469
2;275;384;1;470
2;300;384;0;371
2;300;385;1;371
2;300;385;1;370
2;300;384;1;371
2;325;384;1;321
2;325;384;1;326
2;325;384;1;321
2;325;384;1;321
2;350;384;2;284
2;350;384;1;285
2;350;384;1;285
2;350;384;1;285
2;375;384;2;251
2;375;384;2;251
2;375;384;2;251
2;375;384;2;251
2;400;384;2;220
2;400;383;2;220
2;400;383;2;221
2;400;384;2;221
2;425;384;2;201
2;425;384;2;201
2;425;384;2;201
2;425;383;2;201
2;450;382;2;182
2;450;384;3;182
2;450;383;3;181
2;450;383;3;182
2;475;383;3;167
2;475;383;3;167
2;475;383;3;167
2;475;383;3;167
2;500;383;3;153
2;500;382;3;153
2;500;383;3;154
2;500;384;3;154
2;525;383;4;143
2;525;382;4;143
2;525;383;4;143
2;525;383;4;143
2;550;383;4;133
2;550;383;5;133
2;550;383;3;133
2;550;383;4;133
2;575;383;5;125
2;575;383;5;124
2;575;383;4;125
2;575;382;5;125
2;600;382;4;118
2;600;382;4;117
2;600;382;5;117
2;600;381;4;117
2;625;383;6;111
2;625;382;4;111
2;625;381;5;111
2;625;382;5;110
2;650;382;6;105
2;650;382;7;106
2;650;382;6;105
2;650;382;6;105
2;675;382;6;100
2;675;381;6;100
2;675;382;6;101
2;675;381;6;100
2;700;381;6;95
2;700;381;8;95
2;700;382;7;95
2;700;382;7;95
2;725;381;8;91
2;725;381;8;90
2;725;382;6;90
2;725;382;8;91
2;750;382;7;87
2;750;380;7;87
2;750;381;8;87
2;750;382;9;86
2;775;381;8;84
2;775;381;7;83
2;775;381;7;83
2;775;381;8;84
2;800;381;8;83
2;800;380;7;83
2;800;381;8;83
2;800;382;8;83
2;825;381;8;83
2;825;381;7;83
2;825;381;7;83
2;825;381;8;84
2;850;382;7;84
2;850;381;8;84
2;850;381;8;83
2;850;379;7;84
2;875;381;7;84
2;875;381;8;84
2;875;381;7;83
2;875;381;7;83
2;900;380;7;84
2;900;379;8;84
2;900;380;8;83
2;900;380;8;84
2;925;381;8;84
2;925;380;7;83
2;925;380;8;84
2;925;380;7;84
2;950;381;8;83
2;950;381;7;84
2;950;380;7;83
2;950;381;8;84
2;975;380;9;85
2;975;379;7;84
2;975;380;8;83
2;975;380;7;84
2;1000;381;8;83
2;1000;381;9;84
2;1000;380;9;84
2;1000;380;8;84
3;0;384;0;230
3;0;384;0;3000
3;0;384;0;3000
3;0;383;0;3000
3;25;384;0;3000
3;25;384;0;3000
3;25;384;0;3000
3;25;384;0;3000
3;50;384;0;3000
3;50;383;0;3000
3;50;384;0;3000
3;50;384;0;3000
3;75;383;0;3000
3;75;384;0;3000
3;75;384;0;3000
3;75;384;0;3000
3;100;384;0;3000
3;100;384;0;3000
3;100;384;0;3000
3;100;384;0;3000
3;125;385;0;3000
3;125;384;0;3000
3;125;384;0;3000
3;125;384;0;3000
3;150;383;0;3000
3;150;384;0;3000
3;150;384;0;3000
3;150;384;0;3000
3;175;384;0;3000
3;175;384;0;3000
3;175;385;0;3000
3;175;384;0;3000
3;200;384;0;3000
3;200;384;0;3000
3;200;384;0;3000
3;200;384;0;3000
3;225;383;0;3000
3;225;383;0;3000
3;225;383;0;924
3;225;384;0;922
3;250;383;0;618
3;250;383;0;617
3;250;383;0;617
3;250;383;0;617
3;275;384;1;470
3;275;383;0;471
3;275;383;0;469
3;275;382;1;470
3;300;384;1;371
3;300;383;1;371
3;300;383;1;370
3;300;384;0;371
3;325;383;1;321
3;325;383;1;327
3;325;383;1;322
3;325;384;1;321
3;350;383;1;279
3;350;383;1;285
3;350;383;1;286
3;350;383;1;286
3;375;383;1;251
3;375;383;2;251
3;375;382;2;251
3;375;383;2;251
3;400;383;2;220
3;400;383;2;221
3;400;382;2;221
3;400;382;2;220
3;425;382;2;201
3;425;383;2;202
3;425;383;2;201
3;425;383;2;201
3;450;383;2;182
3;450;382;3;182
3;450;384;3;182
3;450;383;3;182
3;475;383;3;167
3;475;383;3;167
3;475;382;3;167
3;475;382;3;168
3;500;383;3;153
3;500;382;3;153
3;500;382;3;153
3;500;382;3;154
3;525;383;3;143
3;525;382;4;143
3;525;382;4;143
3;525;382;4;143
3;550;382;4;133
3;550;382;4;133
3;550;382;5;133
3;550;382;3;133
3;575;382;4;126
3;575;381;4;125
3;575;382;4;125
3;575;382;4;125
3;600;382;4;117
3;600;382;5;118
3;600;382;4;118
3;600;381;4;118
3;625;382;5;111
3;625;382;4;111
3;625;381;5;111
3;625;381;6;111
3;650;381;6;105
3;650;381;7;105
3;650;382;6;106
3;650;381;6;106
3;675;381;5;100
3;675;381;6;100
3;675;381;6;100
3;675;381;7;100
3;700;381;7;95
3;700;381;6;95
3;700;381;8;95
3;700;381;6;95
3;725;381;6;91
3;725;380;7;91
3;725;381;8;91
3;725;380;6;90
3;750;380;7;87
3;750;380;7;87
3;750;380;7;87
3;750;379;7;87
3;775;380;7;84
3;775;380;7;84
3;775;380;7;83
3;775;380;8;84
3;800;380;9;80
3;800;380;9;80
3;800;380;11;80
3;800;379;9;80
3;825;379;7;77
3;825;379;9;78
3;825;380;7;78
3;825;379;9;78
3;850;381;10;75
3;850;379;11;74
3;850;379;8;75
3;850;380;9;75
3;875;379;8;71
3;875;379;9;72
3;875;380;8;72
3;875;379;10;72
3;900;378;9;69
3;900;379;11;69
3;900;379;11;69
3;900;379;14;70
3;925;379;11;64
3;925;379;11;63
3;925;379;13;64
3;925;379;9;64
3;950;379;11;64
3;950;378;10;64
3;950;378;14;63
3;950;378;11;64
3;975;379;0;64
3;975;379;11;64
3;975;378;14;64
3;975;377;12;64
3;1000;379;11;64
3;1000;378;8;63
3;1000;378;12;63
3;1000;378;11;63
